"#OTU ID","domain","phylum","class","order","family","genus","species"
"ASV_100","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Catenibacterium","Unknown"
"ASV_101","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","prausnitzii"
"ASV_102","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","Unknown"
"ASV_103","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Unknown","Unknown"
"ASV_104","Bacteria","Proteobacteria","Alphaproteobacteria","Unknown","Unknown","Unknown","Unknown"
"ASV_105","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","nigrescens"
"ASV_106","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","prausnitzii"
"ASV_107","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Unknown"
"ASV_108","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Paraprevotellaceae]","CF231","Unknown"
"ASV_109","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Unknown","Unknown"
"ASV_110","Bacteria","Proteobacteria","Betaproteobacteria","Unknown","Unknown","Unknown","Unknown"
"ASV_111","Bacteria","Cyanobacteria","Chloroplast","Streptophyta","Unknown","Unknown","Unknown"
"ASV_112","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Unknown","Unknown"
